Municipio,Taxa
NOVO ARIPUANA,1
NOVO HAMBURGO,76
NOVO LINO,11
NOVO PROGRESSO,18
NOVO REPARTIMENTO,3
OCARA,1
OCAUCU,17
OEIRAS,28
OIAPOQUE,15
OLARIA,2
OLHO DAGUA,4
OLHO DAGUA DAS CUNHAS,5
OLHO DAGUA DO PIAUI,4
OLHO DAGUA GRANDE,3
OLINDINA,9
OLIVEDOS,3
OLIVEIRA,68
OLIVEIRA DE FATIMA,3
OLIVEIRA DOS BREJINHOS,26
OLIVEIRA FORTES,9
ONDA VERDE,18
ORIZANIA,21
OROCO,6
ORTIGUEIRA,97
OSORIO,53
OURICURI,22
OURINHOS,2
OURO BRANCO,10
OURO PRETO,20
OURO PRETO DO OESTE,52
PACAJA,5
PACAJUS,16
PACARAIMA,5
PADRE BERNARDO,31
PADRE CARVALHO,8
PADRE PARAISO,10
PALHANO,2
PALHOCA,595
PALMARES,20
PALMAS,98
PALMEIRA,117
PALMEIRA DAS MISSOES,35
PALMEIRA DOS INDIOS,25
PALMEIRAS,17
PALMEIRAS DO TOCANTINS,10
PALMITAL,4
PALMITOS,11
PANAMA,13
PANAMBI,34
PANELAS,18
PANTANO GRANDE,20
PAPANDUVA,28
PARA DE MINAS,34
PARACAMBI,23
PARACATU,106
PARAGOMINAS,18
PARAIBA DO SUL,26
PARAISO,4
PARAISO DAS AGUAS,24
PARAISO DO TOCANTINS,51
PARAMBU,3
PARANAGUA,160
PARANAIBA,45
PARANAIGUARA,11
PARANATAMA,6
PARANAVAI,30
PARAOPEBA,28
PARATY,92
PARIQUERA-ACU,18
PARNAIBA,85
PARNAMIRIM,158
PASSAGEM FRANCA DO PIAUI,9
PASSO DE TORRES,7
PASSO FUNDO,71
PASTOS BONS,6
PATO BRANCO,67
PATOS,32
PATOS DE MINAS,54
PATOS DO PIAUI,4
PATROCINIO,47
PATROCINIO DO MURIAE,3
PATU,2
